identifiant;Section;Numero;Surface;hauteur;coordonnees_de_la_forme
IK109000IR0071;IR;71;430.061523689351650;7.000000000000000;POLYGON ((352965.480686728 6689010.06970499,352965.707374248 6689010.0565202,352966.243710652 6689006.2423065,352967.089698393 6688998.62706408,352967.969770202 6688992.90134903,352958.496796122 6688991.67208191,352944.116850459 6688989.50432954,352943.814599391 6688989.52191035,352943.285627503 6688998.67643164,352942.893045085 6689006.26530609,352942.732697172 6689008.72246929,352944.407972858 6689008.84755493,352951.707124825 6689009.20185125,352962.205700006 6689009.81512735,352965.480686728 6689010.06970499))
IK109000IR0072;IR;72;214.228766961100860;7.000000000000000;POLYGON ((352932.378790894 6689007.98954666,352942.732697172 6689008.72246929,352942.893045085 6689006.26530609,352943.285627503 6688998.67643164,352943.814599391 6688989.52191035,352944.116850459 6688989.50432954,352944.173063056 6688989.16726403,352933.225681638 6688987.35620544,352932.929880723 6688987.48467689,352932.881959392 6688989.26770899,352932.837719176 6688993.72089395,352932.578764045 6689002.30338445,352932.378790894 6689007.98954666))
IK109000KW0312;KW;312;195.586041472219050;7.000000000000000;POLYGON ((352883.050484587 6689147.93804889,352878.608922993 6689141.96558841,352870.682468581 6689147.76748478,352859.884723372 6689153.73644923,352854.2407521 6689157.06899616,352857.093695878 6689161.79868385,352857.762699044 6689162.87241408,352860.474566882 6689161.26818101,352866.263206635 6689157.81595748,352869.195309301 6689156.08764977,352874.619058463 6689152.87919529,352883.050484587 6689147.93804889))
IK109000IR0076;IR;76;276.506563298832130;7.000000000000000;POLYGON ((352943.013629741 6689052.65592053,352952.970297632 6689053.07816681,352953.430157544 6689044.03893014,352953.121459287 6689043.94562035,352953.5324983 6689031.45999986,352953.610836719 6689028.89634174,352953.597936868 6689028.67456149,352953.73710124 6689024.54965151,352951.224194704 6689024.36201927,352948.33347631 6689024.19636381,352947.949214646 6689024.10744944,352944.447547212 6689023.866067,352944.301939038 6689027.88008707,352943.931483769 6689033.24236937,352943.742565332 6689037.81523535,352943.662392353 6689039.04381705,352943.013629741 6689052.65592053))
IK109000KW0319;KW;319;610.814411941909160;7.000000000000000;POLYGON ((352869.751581198 6689130.46423798,352865.607646392 6689125.69838978,352860.61974616 6689129.8828814,352856.629778499 6689131.67274144,352852.696018341 6689133.12553765,352849.807209074 6689134.29500675,352845.294772977 6689136.22653922,352839.674735021 6689138.66758299,352839.06379583 6689138.59186518,352830.753966472 6689140.41056631,352826.669095881 6689141.87217299,352810.549861782 6689147.594547,352814.867210899 6689159.24872854,352846.322370125 6689146.0693743,352848.626042481 6689145.26774487,352856.297261713 6689141.59471183,352863.672698182 6689138.05016362,352866.246360942 6689136.67650583,352864.75723094 6689134.53783612,352869.751581198 6689130.46423798))
IK109000IR0077;IR;77;156.349114387592890;7.000000000000000;POLYGON ((352952.970297632 6689053.07816681,352958.134310658 6689053.22286356,352958.821806273 6689040.27610247,352958.932395574 6689038.26689502,352959.286292412 6689030.01268012,352959.600548979 6689024.98746419,352953.73710124 6689024.54965151,352953.597936868 6689028.67456149,352953.610836719 6689028.89634174,352953.5324983 6689031.45999986,352953.121459287 6689043.94562035,352953.430157544 6689044.03893014,352952.970297632 6689053.07816681))
IK109000KW0321;KW;321;522.369196781173970;7.000000000000000;POLYGON ((352862.84501969 6689122.5211593,352861.418543156 6689120.15631417,352840.926861433 6689128.91463369,352840.45413903 6689128.60834266,352837.237276799 6689129.35184376,352834.907790415 6689129.70991745,352828.845421415 6689131.06405404,352824.728282459 6689131.97121191,352802.27939288 6689137.06052847,352805.854061633 6689148.98045311,352810.549861782 6689147.594547,352826.669095881 6689141.87217299,352830.753966472 6689140.41056631,352839.06379583 6689138.59186518,352839.674735021 6689138.66758299,352845.294772977 6689136.22653922,352848.195484695 6689130.04943038,352852.204807044 6689128.59223484,352855.464972836 6689127.28989524,352862.84501969 6689122.5211593))
IK109000IR0078;IR;78;213.211051582233440;7.000000000000000;POLYGON ((352958.134310658 6689053.22286356,352963.758144694 6689053.45208519,352964.287133022 6689044.29756423,352964.513819243 6689044.2843794,352964.9570726 6689041.47696635,352965.594764389 6689038.10191787,352966.118257589 6689024.94216776,352971.206731431 6689025.0912707,352971.334841771 6689022.07965744,352965.024468286 6689021.77909296,352959.78486647 6689021.63878529,352959.600548979 6689024.98746419,352959.286292412 6689030.01268012,352958.932395574 6689038.26689502,352958.821806273 6689040.27610247,352958.134310658 6689053.22286356))
IK109000KW0326;KW;326;585.707525254116940;7.000000000000000;POLYGON ((352859.39861992 6689116.7133428,352854.471387718 6689110.21282831,352854.594841883 6689108.42539864,352822.171765675 6689114.09496458,352808.585529221 6689116.44325099,352809.247253863 6689121.30042618,352810.060099966 6689126.14880772,352810.581735429 6689129.9014801,352837.771647666 6689124.20254039,352840.818034282 6689123.13516251,352855.829750997 6689117.92237544,352859.39861992 6689116.7133428))
IK109000IR0079;IR;79;184.402034334168690;7.000000000000000;POLYGON ((352963.758144694 6689053.45208519,352970.830554409 6689053.81958987,352971.694117042 6689036.07818474,352971.934653635 6689032.39244081,352971.963235926 6689030.27673835,352972.126378391 6689025.26031277,352971.206731431 6689025.0912707,352966.118257589 6689024.94216776,352965.594764389 6689038.10191787,352964.9570726 6689041.47696635,352964.513819243 6689044.2843794,352964.287133022 6689044.29756423,352963.758144694 6689053.45208519))
